"FinanceKey","DateKey","OrganizationKey","DepartmentGroupKey","ScenarioKey","AccountKey","Amount","Date"
"42","20101229","3","1","1","89","201","12/29/2010 12:00:00 AM"
"43","20101229","3","1","1","90","309","12/29/2010 12:00:00 AM"
"44","20101229","3","1","1","91","-247","12/29/2010 12:00:00 AM"
"45","20101229","3","1","1","92","412","12/29/2010 12:00:00 AM"
"46","20101229","3","1","1","94","214","12/29/2010 12:00:00 AM"
"47","20101229","3","1","1","96","12","12/29/2010 12:00:00 AM"
"48","20101229","3","2","1","12","23197","12/29/2010 12:00:00 AM"
"49","20101229","3","6","1","52","3059","12/29/2010 12:00:00 AM"
"50","20101229","3","6","2","52","3200","12/29/2010 12:00:00 AM"
"51","20101229","3","6","2","53","2600","12/29/2010 12:00:00 AM"
"52","20101229","3","6","1","53","2294","12/29/2010 12:00:00 AM"
"53","20101229","3","6","1","56","33968","12/29/2010 12:00:00 AM"
"54","20101229","3","6","2","56","27200","12/29/2010 12:00:00 AM"
"55","20101229","3","6","2","57","3800","12/29/2010 12:00:00 AM"
"56","20101229","3","6","1","57","3186","12/29/2010 12:00:00 AM"
"57","20101229","3","6","1","60","16320","12/29/2010 12:00:00 AM"
"58","20101229","3","6","2","60","14300","12/29/2010 12:00:00 AM"
"59","20101229","3","6","2","61","1600","12/29/2010 12:00:00 AM"
"60","20101229","3","6","1","61","1632","12/29/2010 12:00:00 AM"
"61","20101229","3","6","1","62","979","12/29/2010 12:00:00 AM"
"62","20101229","3","6","2","62","1100","12/29/2010 12:00:00 AM"
"63","20101229","3","6","2","63","2400","12/29/2010 12:00:00 AM"
"64","20101229","3","6","1","63","1912","12/29/2010 12:00:00 AM"
"65","20101229","3","6","1","65","220","12/29/2010 12:00:00 AM"
"66","20101229","3","6","2","65","280","12/29/2010 12:00:00 AM"
"67","20101229","3","6","2","66","200","12/29/2010 12:00:00 AM"
"68","20101229","3","6","1","66","200","12/29/2010 12:00:00 AM"
"69","20101229","3","6","1","67","104","12/29/2010 12:00:00 AM"
"70","20101229","3","6","2","67","100","12/29/2010 12:00:00 AM"
"71","20101229","3","6","2","68","100","12/29/2010 12:00:00 AM"
"72","20101229","3","6","1","68","76","12/29/2010 12:00:00 AM"
"73","20101229","3","6","1","69","22","12/29/2010 12:00:00 AM"
"74","20101229","3","6","1","71","32","12/29/2010 12:00:00 AM"
"75","20101229","3","6","2","71","50","12/29/2010 12:00:00 AM"
"76","20101229","3","6","2","72","200","12/29/2010 12:00:00 AM"
"77","20101229","3","6","1","72","153","12/29/2010 12:00:00 AM"
"78","20101229","3","6","1","73","151","12/29/2010 12:00:00 AM"
"79","20101229","3","6","2","73","220","12/29/2010 12:00:00 AM"
"80","20101229","3","6","2","74","100","12/29/2010 12:00:00 AM"
"81","20101229","3","6","1","74","96","12/29/2010 12:00:00 AM"
"82","20101229","3","6","1","76","486","12/29/2010 12:00:00 AM"
"83","20101229","3","6","2","76","750","12/29/2010 12:00:00 AM"
"84","20101229","3","6","2","77","380","12/29/2010 12:00:00 AM"
"85","20101229","3","6","1","77","346","12/29/2010 12:00:00 AM"
"86","20101229","3","6","1","78","113","12/29/2010 12:00:00 AM"
"87","20101229","3","6","2","78","100","12/29/2010 12:00:00 AM"
"88","20101229","3","6","2","80","380","12/29/2010 12:00:00 AM"
"89","20101229","3","6","1","80","449","12/29/2010 12:00:00 AM"
"90","20101229","3","6","1","81","278","12/29/2010 12:00:00 AM"
"91","20101229","3","6","2","81","280","12/29/2010 12:00:00 AM"
"92","20101229","3","6","2","82","30","12/29/2010 12:00:00 AM"
"93","20101229","3","6","1","82","29","12/29/2010 12:00:00 AM"
"94","20101229","3","6","1","83","102","12/29/2010 12:00:00 AM"
"95","20101229","3","6","2","83","90","12/29/2010 12:00:00 AM"
"96","20101229","3","6","2","84","80","12/29/2010 12:00:00 AM"
"97","20101229","3","6","1","84","92","12/29/2010 12:00:00 AM"
"98","20101229","3","6","1","85","82","12/29/2010 12:00:00 AM"
"99","20101229","3","6","2","85","80","12/29/2010 12:00:00 AM"
"100","20101229","3","6","2","87","380","12/29/2010 12:00:00 AM"
"101","20101229","3","6","1","87","360","12/29/2010 12:00:00 AM"
"102","20101229","3","6","1","89","179","12/29/2010 12:00:00 AM"
"103","20101229","3","6","1","90","276","12/29/2010 12:00:00 AM"
"104","20101229","3","6","1","91","-221","12/29/2010 12:00:00 AM"
"105","20101229","3","6","1","92","368","12/29/2010 12:00:00 AM"
"106","20101229","3","6","1","94","3642","12/29/2010 12:00:00 AM"
"107","20101229","3","6","1","96","8","12/29/2010 12:00:00 AM"
"108","20101229","3","6","1","97","98","12/29/2010 12:00:00 AM"
"109","20101229","3","6","1","99","45000","12/29/2010 12:00:00 AM"
"110","20101229","3","6","1","101","76475","12/29/2010 12:00:00 AM"
"111","20101229","3","6","2","101","91800","12/29/2010 12:00:00 AM"
"112","20101229","3","7","1","4","76978","12/29/2010 12:00:00 AM"
"113","20101229","3","7","1","6","124391","12/29/2010 12:00:00 AM"
"114","20101229","3","7","1","7","3556","12/29/2010 12:00:00 AM"
"115","20101229","3","7","1","8","2487","12/29/2010 12:00:00 AM"
"116","20101229","3","7","1","13","19218","12/29/2010 12:00:00 AM"
"117","20101229","3","7","1","14","12687","12/29/2010 12:00:00 AM"
"118","20101229","3","7","1","15","23136","12/29/2010 12:00:00 AM"
"119","20101229","3","7","1","18","13720","12/29/2010 12:00:00 AM"
"120","20101229","3","7","1","19","43720","12/29/2010 12:00:00 AM"
"121","20101229","3","7","1","20","13445","12/29/2010 12:00:00 AM"
"122","20101229","3","7","1","21","59754","12/29/2010 12:00:00 AM"
"123","20101229","3","7","1","22","11887","12/29/2010 12:00:00 AM"
"124","20101229","3","7","1","23","4908","12/29/2010 12:00:00 AM"
"125","20101229","3","7","1","24","23894","12/29/2010 12:00:00 AM"
"126","20101229","3","7","1","28","20246","12/29/2010 12:00:00 AM"
"127","20101229","3","7","1","29","175368","12/29/2010 12:00:00 AM"
"128","20101229","3","7","1","31","55708","12/29/2010 12:00:00 AM"
"129","20101229","3","7","1","32","29228","12/29/2010 12:00:00 AM"
"130","20101229","3","7","1","33","28238","12/29/2010 12:00:00 AM"
"131","20101229","3","7","1","34","9316","12/29/2010 12:00:00 AM"
"132","20101229","3","7","1","35","42697","12/29/2010 12:00:00 AM"
"133","20101229","3","7","1","37","33491","12/29/2010 12:00:00 AM"
"134","20101229","3","7","1","38","36417","12/29/2010 12:00:00 AM"
"135","20101229","3","7","1","39","55708","12/29/2010 12:00:00 AM"
"136","20101229","3","7","1","40","29546","12/29/2010 12:00:00 AM"
"137","20101229","3","7","1","42","350000","12/29/2010 12:00:00 AM"
"138","20101229","3","7","1","43","-830343.5","12/29/2010 12:00:00 AM"
"139","20101229","3","7","1","45","423790.5","12/29/2010 12:00:00 AM"
"140","20101229","3","7","1","46","-25508","12/29/2010 12:00:00 AM"
"141","20101229","3","7","1","60","5520","12/29/2010 12:00:00 AM"
"142","20101229","3","7","2","60","5000","12/29/2010 12:00:00 AM"
"143","20101229","3","7","2","61","480","12/29/2010 12:00:00 AM"
"144","20101229","3","7","1","61","497","12/29/2010 12:00:00 AM"
"145","20101229","3","7","1","62","331","12/29/2010 12:00:00 AM"
"146","20101229","3","7","2","62","380","12/29/2010 12:00:00 AM"
"147","20101229","3","7","2","65","90","12/29/2010 12:00:00 AM"
"148","20101229","3","7","1","65","81","12/29/2010 12:00:00 AM"
"149","20101229","3","7","1","66","74","12/29/2010 12:00:00 AM"
"150","20101229","3","7","2","66","80","12/29/2010 12:00:00 AM"
"151","20101229","3","7","2","67","40","12/29/2010 12:00:00 AM"
"152","20101229","3","7","1","67","38","12/29/2010 12:00:00 AM"
"153","20101229","3","7","1","68","29","12/29/2010 12:00:00 AM"
"154","20101229","3","7","2","68","30","12/29/2010 12:00:00 AM"
"155","20101229","3","7","1","69","8","12/29/2010 12:00:00 AM"
"156","20101229","3","7","1","71","9","12/29/2010 12:00:00 AM"
"157","20101229","3","7","2","71","30","12/29/2010 12:00:00 AM"
"158","20101229","3","7","2","73","80","12/29/2010 12:00:00 AM"
"159","20101229","3","7","1","73","57","12/29/2010 12:00:00 AM"
"160","20101229","3","7","1","74","86","12/29/2010 12:00:00 AM"
"161","20101229","3","7","2","74","100","12/29/2010 12:00:00 AM"
"162","20101229","3","7","2","76","60","12/29/2010 12:00:00 AM"
"163","20101229","3","7","1","76","71","12/29/2010 12:00:00 AM"
"164","20101229","3","7","1","77","128","12/29/2010 12:00:00 AM"
"165","20101229","3","7","2","77","100","12/29/2010 12:00:00 AM"
"166","20101229","3","7","2","78","40","12/29/2010 12:00:00 AM"
"167","20101229","3","7","1","78","39","12/29/2010 12:00:00 AM"
"168","20101229","3","7","1","80","143","12/29/2010 12:00:00 AM"
"169","20101229","3","7","2","80","100","12/29/2010 12:00:00 AM"
"170","20101229","3","7","2","81","90","12/29/2010 12:00:00 AM"
"171","20101229","3","7","1","81","89","12/29/2010 12:00:00 AM"
"172","20101229","3","7","1","82","9","12/29/2010 12:00:00 AM"
"173","20101229","3","7","2","82","10","12/29/2010 12:00:00 AM"
"174","20101229","3","7","2","83","30","12/29/2010 12:00:00 AM"
"175","20101229","3","7","1","83","30","12/29/2010 12:00:00 AM"
"176","20101229","3","7","1","84","25","12/29/2010 12:00:00 AM"
"177","20101229","3","7","2","84","30","12/29/2010 12:00:00 AM"
"178","20101229","3","7","2","85","20","12/29/2010 12:00:00 AM"
"179","20101229","3","7","1","85","24","12/29/2010 12:00:00 AM"
"180","20101229","3","7","1","87","135","12/29/2010 12:00:00 AM"
"181","20101229","3","7","2","87","100","12/29/2010 12:00:00 AM"
"182","20101229","3","7","1","89","48","12/29/2010 12:00:00 AM"
"183","20101229","3","7","1","90","73","12/29/2010 12:00:00 AM"
"184","20101229","3","7","1","91","-58","12/29/2010 12:00:00 AM"
"185","20101229","3","7","1","92","98","12/29/2010 12:00:00 AM"
"186","20101229","3","7","1","94","52","12/29/2010 12:00:00 AM"
"187","20101229","3","7","1","96","3","12/29/2010 12:00:00 AM"
"188","20101229","3","7","1","100","23076","12/29/2010 12:00:00 AM"
"189","20101229","4","1","1","60","43120","12/29/2010 12:00:00 AM"
"190","20101229","4","1","2","60","40900","12/29/2010 12:00:00 AM"
"191","20101229","4","1","2","61","4000","12/29/2010 12:00:00 AM"
"192","20101229","4","1","1","61","5174","12/29/2010 12:00:00 AM"
"193","20101229","4","1","1","62","3449","12/29/2010 12:00:00 AM"
"194","20101229","4","1","2","62","3600","12/29/2010 12:00:00 AM"
"195","20101229","4","1","2","65","850","12/29/2010 12:00:00 AM"
"196","20101229","4","1","1","65","770","12/29/2010 12:00:00 AM"
"197","20101229","4","1","1","66","700","12/29/2010 12:00:00 AM"
"198","20101229","4","1","2","66","750","12/29/2010 12:00:00 AM"
"199","20101229","4","1","2","67","380","12/29/2010 12:00:00 AM"
"200","20101229","4","1","1","67","352","12/29/2010 12:00:00 AM"
"201","20101229","4","1","1","68","264","12/29/2010 12:00:00 AM"
"202","20101229","4","1","2","68","280","12/29/2010 12:00:00 AM"
"203","20101229","4","1","1","69","77","12/29/2010 12:00:00 AM"
"204","20101229","4","1","1","71","99","12/29/2010 12:00:00 AM"
"205","20101229","4","1","2","71","110","12/29/2010 12:00:00 AM"
"206","20101229","4","1","2","73","500","12/29/2010 12:00:00 AM"
"207","20101229","4","1","1","73","486","12/29/2010 12:00:00 AM"
"208","20101229","4","1","1","74","240","12/29/2010 12:00:00 AM"
"209","20101229","4","1","2","74","280","12/29/2010 12:00:00 AM"
"210","20101229","4","1","2","76","550","12/29/2010 12:00:00 AM"
"211","20101229","4","1","1","76","561","12/29/2010 12:00:00 AM"
"212","20101229","4","1","1","77","1009","12/29/2010 12:00:00 AM"
"213","20101229","4","1","2","77","950","12/29/2010 12:00:00 AM"
"214","20101229","4","1","2","78","280","12/29/2010 12:00:00 AM"
"215","20101229","4","1","1","78","277","12/29/2010 12:00:00 AM"
"216","20101229","4","1","1","80","1051","12/29/2010 12:00:00 AM"
"217","20101229","4","1","2","80","1000","12/29/2010 12:00:00 AM"
"218","20101229","4","1","2","81","650","12/29/2010 12:00:00 AM"
"219","20101229","4","1","1","81","650","12/29/2010 12:00:00 AM"
"220","20101229","4","1","1","82","62","12/29/2010 12:00:00 AM"
"221","20101229","4","1","2","82","70","12/29/2010 12:00:00 AM"
"222","20101229","4","1","2","83","200","12/29/2010 12:00:00 AM"
"223","20101229","4","1","1","83","217","12/29/2010 12:00:00 AM"
"224","20101229","4","1","1","84","180","12/29/2010 12:00:00 AM"
"225","20101229","4","1","2","84","200","12/29/2010 12:00:00 AM"
"226","20101229","4","1","2","85","200","12/29/2010 12:00:00 AM"
"227","20101229","4","1","1","85","174","12/29/2010 12:00:00 AM"
"228","20101229","4","1","1","87","990","12/29/2010 12:00:00 AM"
"229","20101229","4","1","2","87","850","12/29/2010 12:00:00 AM"
"230","20101229","4","1","1","89","176","12/29/2010 12:00:00 AM"
"231","20101229","4","1","1","90","270","12/29/2010 12:00:00 AM"
"232","20101229","4","1","1","91","-216","12/29/2010 12:00:00 AM"
"233","20101229","4","1","1","92","360","12/29/2010 12:00:00 AM"
"234","20101229","4","1","1","94","96","12/29/2010 12:00:00 AM"
"235","20101229","4","1","1","96","11","12/29/2010 12:00:00 AM"
"236","20101229","4","2","1","12","34545","12/29/2010 12:00:00 AM"
"237","20101229","4","6","1","52","4505","12/29/2010 12:00:00 AM"
"238","20101229","4","6","2","52","3900","12/29/2010 12:00:00 AM"
"239","20101229","4","6","2","53","-1600","12/29/2010 12:00:00 AM"
"240","20101229","4","6","1","53","-1126","12/29/2010 12:00:00 AM"
"241","20101229","4","6","1","56","42417","12/29/2010 12:00:00 AM"
"242","20101229","4","6","2","56","55000","12/29/2010 12:00:00 AM"
"243","20101229","4","6","2","57","1500","12/29/2010 12:00:00 AM"
"244","20101229","4","6","1","57","938","12/29/2010 12:00:00 AM"
"245","20101229","4","6","1","60","26040","12/29/2010 12:00:00 AM"
"246","20101229","4","6","2","60","22700","12/29/2010 12:00:00 AM"
"247","20101229","4","6","2","61","2000","12/29/2010 12:00:00 AM"
"248","20101229","4","6","1","61","2083","12/29/2010 12:00:00 AM"
"249","20101229","4","6","1","62","1562","12/29/2010 12:00:00 AM"
"250","20101229","4","6","2","62","1600","12/29/2010 12:00:00 AM"
"251","20101229","4","6","2","63","6200","12/29/2010 12:00:00 AM"
"252","20101229","4","6","1","63","3379","12/29/2010 12:00:00 AM"
"253","20101229","4","6","1","65","378","12/29/2010 12:00:00 AM"
"254","20101229","4","6","2","65","380","12/29/2010 12:00:00 AM"
"255","20101229","4","6","2","66","380","12/29/2010 12:00:00 AM"
"256","20101229","4","6","1","66","343","12/29/2010 12:00:00 AM"
"257","20101229","4","6","1","67","182","12/29/2010 12:00:00 AM"
"258","20101229","4","6","2","67","200","12/29/2010 12:00:00 AM"
"259","20101229","4","6","2","68","100","12/29/2010 12:00:00 AM"
"260","20101229","4","6","1","68","133","12/29/2010 12:00:00 AM"
"261","20101229","4","6","1","69","38","12/29/2010 12:00:00 AM"
"262","20101229","4","6","1","71","63","12/29/2010 12:00:00 AM"
"263","20101229","4","6","2","71","70","12/29/2010 12:00:00 AM"
"264","20101229","4","6","2","72","380","12/29/2010 12:00:00 AM"
"265","20101229","4","6","1","72","225","12/29/2010 12:00:00 AM"
"266","20101229","4","6","1","73","263","12/29/2010 12:00:00 AM"
"267","20101229","4","6","2","73","300","12/29/2010 12:00:00 AM"
"268","20101229","4","6","2","74","200","12/29/2010 12:00:00 AM"
"269","20101229","4","6","1","74","187","12/29/2010 12:00:00 AM"
"270","20101229","4","6","1","76","1201","12/29/2010 12:00:00 AM"
"271","20101229","4","6","2","76","1500","12/29/2010 12:00:00 AM"
"272","20101229","4","6","2","77","550","12/29/2010 12:00:00 AM"
"273","20101229","4","6","1","77","604","12/29/2010 12:00:00 AM"
"274","20101229","4","6","1","78","193","12/29/2010 12:00:00 AM"
"275","20101229","4","6","2","78","200","12/29/2010 12:00:00 AM"
"276","20101229","4","6","2","80","650","12/29/2010 12:00:00 AM"
"277","20101229","4","6","1","80","749","12/29/2010 12:00:00 AM"
"278","20101229","4","6","1","81","464","12/29/2010 12:00:00 AM"
"279","20101229","4","6","2","81","380","12/29/2010 12:00:00 AM"
"280","20101229","4","6","2","82","50","12/29/2010 12:00:00 AM"
"281","20101229","4","6","1","82","47","12/29/2010 12:00:00 AM"
"282","20101229","4","6","1","83","165","12/29/2010 12:00:00 AM"
"283","20101229","4","6","2","83","100","12/29/2010 12:00:00 AM"
"284","20101229","4","6","2","84","100","12/29/2010 12:00:00 AM"
"285","20101229","4","6","1","84","145","12/29/2010 12:00:00 AM"
"286","20101229","4","6","1","85","132","12/29/2010 12:00:00 AM"
"287","20101229","4","6","2","85","100","12/29/2010 12:00:00 AM"
"288","20101229","4","6","2","87","550","12/29/2010 12:00:00 AM"
"289","20101229","4","6","1","87","630","12/29/2010 12:00:00 AM"
"290","20101229","4","6","1","89","142","12/29/2010 12:00:00 AM"
"291","20101229","4","6","1","90","218","12/29/2010 12:00:00 AM"
"292","20101229","4","6","1","91","-174","12/29/2010 12:00:00 AM"
"293","20101229","4","6","1","92","291","12/29/2010 12:00:00 AM"
"294","20101229","4","6","1","94","3303","12/29/2010 12:00:00 AM"
"295","20101229","4","6","1","96","7","12/29/2010 12:00:00 AM"
"296","20101229","4","6","1","97","95","12/29/2010 12:00:00 AM"
"297","20101229","4","6","1","99","63000","12/29/2010 12:00:00 AM"
"298","20101229","4","6","2","101","123900","12/29/2010 12:00:00 AM"
"299","20101229","4","6","1","101","112648","12/29/2010 12:00:00 AM"
"300","20101229","4","7","1","4","138120","12/29/2010 12:00:00 AM"
"301","20101229","4","7","1","6","172658","12/29/2010 12:00:00 AM"
"302","20101229","4","7","1","7","5181","12/29/2010 12:00:00 AM"
"303","20101229","4","7","1","8","3453","12/29/2010 12:00:00 AM"
"304","20101229","4","7","1","13","23826","12/29/2010 12:00:00 AM"
"305","20101229","4","7","1","14","16229","12/29/2010 12:00:00 AM"
"306","20101229","4","7","1","15","31769","12/29/2010 12:00:00 AM"
"307","20101229","4","7","1","18","10976","12/29/2010 12:00:00 AM"
"308","20101229","4","7","1","19","34976","12/29/2010 12:00:00 AM"
"309","20101229","4","7","1","20","10646","12/29/2010 12:00:00 AM"
"310","20101229","4","7","1","21","48713","12/29/2010 12:00:00 AM"
"311","20101229","4","7","1","22","9416","12/29/2010 12:00:00 AM"
"312","20101229","4","7","1","23","3849","12/29/2010 12:00:00 AM"
"313","20101229","4","7","1","24","20310","12/29/2010 12:00:00 AM"
"314","20101229","4","7","1","28","16196","12/29/2010 12:00:00 AM"
"315","20101229","4","7","1","29","149442","12/29/2010 12:00:00 AM"
"316","20101229","4","7","1","31","46294","12/29/2010 12:00:00 AM"
"317","20101229","4","7","1","32","25924","12/29/2010 12:00:00 AM"
"318","20101229","4","7","1","33","21738","12/29/2010 12:00:00 AM"
"319","20101229","4","7","1","34","12448","12/29/2010 12:00:00 AM"
"320","20101229","4","7","1","35","32590","12/29/2010 12:00:00 AM"
"321","20101229","4","7","1","37","25665","12/29/2010 12:00:00 AM"
"322","20101229","4","7","1","38","26166","12/29/2010 12:00:00 AM"
"323","20101229","4","7","1","39","45395","12/29/2010 12:00:00 AM"
"324","20101229","4","7","1","40","23636","12/29/2010 12:00:00 AM"
"325","20101229","4","7","1","42","350000","12/29/2010 12:00:00 AM"
"326","20101229","4","7","1","43","-491124","12/29/2010 12:00:00 AM"
"327","20101229","4","7","1","45","291070","12/29/2010 12:00:00 AM"
"328","20101229","4","7","1","46","-27492","12/29/2010 12:00:00 AM"
"329","20101229","4","7","1","100","16719","12/29/2010 12:00:00 AM"
"330","20101229","5","1","1","60","33920","12/29/2010 12:00:00 AM"
"331","20101229","5","1","2","60","31600","12/29/2010 12:00:00 AM"
"332","20101229","5","1","2","61","2700","12/29/2010 12:00:00 AM"
"333","20101229","5","1","1","61","3731","12/29/2010 12:00:00 AM"
"334","20101229","5","1","1","62","2035","12/29/2010 12:00:00 AM"
"335","20101229","5","1","2","62","1900","12/29/2010 12:00:00 AM"
"336","20101229","5","1","2","65","480","12/29/2010 12:00:00 AM"
"337","20101229","5","1","1","65","440","12/29/2010 12:00:00 AM"
"338","20101229","5","1","1","66","400","12/29/2010 12:00:00 AM"
"339","20101229","5","1","2","66","380","12/29/2010 12:00:00 AM"
"340","20101229","5","1","2","67","200","12/29/2010 12:00:00 AM"
"341","20101229","5","1","1","67","208","12/29/2010 12:00:00 AM"
"342","20101229","5","1","1","68","152","12/29/2010 12:00:00 AM"
"343","20101229","5","1","2","68","200","12/29/2010 12:00:00 AM"
"344","20101229","5","1","1","69","44","12/29/2010 12:00:00 AM"
"345","20101229","5","1","1","71","64","12/29/2010 12:00:00 AM"
"346","20101229","5","1","2","71","90","12/29/2010 12:00:00 AM"
"347","20101229","5","1","2","73","300","12/29/2010 12:00:00 AM"
"348","20101229","5","1","1","73","301","12/29/2010 12:00:00 AM"
"349","20101229","5","1","1","74","192","12/29/2010 12:00:00 AM"
"350","20101229","5","1","2","74","200","12/29/2010 12:00:00 AM"
"351","20101229","5","1","2","76","380","12/29/2010 12:00:00 AM"
"352","20101229","5","1","1","76","384","12/29/2010 12:00:00 AM"
"353","20101229","5","1","1","77","691","12/29/2010 12:00:00 AM"
"354","20101229","5","1","2","77","650","12/29/2010 12:00:00 AM"
"355","20101229","5","1","2","78","200","12/29/2010 12:00:00 AM"
"356","20101229","5","1","1","78","210","12/29/2010 12:00:00 AM"
"357","20101229","5","1","1","80","806","12/29/2010 12:00:00 AM"
"358","20101229","5","1","2","80","850","12/29/2010 12:00:00 AM"
"359","20101229","5","1","2","81","550","12/29/2010 12:00:00 AM"
"360","20101229","5","1","1","81","499","12/29/2010 12:00:00 AM"
"361","20101229","5","1","1","82","49","12/29/2010 12:00:00 AM"
"362","20101229","5","1","2","82","60","12/29/2010 12:00:00 AM"
"363","20101229","5","1","2","83","200","12/29/2010 12:00:00 AM"
"364","20101229","5","1","1","83","172","12/29/2010 12:00:00 AM"
"365","20101229","5","1","1","84","147","12/29/2010 12:00:00 AM"
"366","20101229","5","1","2","84","200","12/29/2010 12:00:00 AM"
"367","20101229","5","1","2","85","200","12/29/2010 12:00:00 AM"
"368","20101229","5","1","1","85","138","12/29/2010 12:00:00 AM"
"369","20101229","5","1","1","87","720","12/29/2010 12:00:00 AM"
"370","20101229","5","1","2","87","750","12/29/2010 12:00:00 AM"
"371","20101229","5","1","1","89","144","12/29/2010 12:00:00 AM"
"372","20101229","5","1","1","90","220","12/29/2010 12:00:00 AM"
"373","20101229","5","1","1","91","-176","12/29/2010 12:00:00 AM"
"374","20101229","5","1","1","92","294","12/29/2010 12:00:00 AM"
"375","20101229","5","1","1","94","219","12/29/2010 12:00:00 AM"
"376","20101229","5","1","1","96","8","12/29/2010 12:00:00 AM"
"377","20101229","5","2","1","12","17392","12/29/2010 12:00:00 AM"
"378","20101229","5","6","1","52","1683","12/29/2010 12:00:00 AM"
"379","20101229","5","6","2","52","2200","12/29/2010 12:00:00 AM"
"380","20101229","5","6","2","53","-250","12/29/2010 12:00:00 AM"
"381","20101229","5","6","1","53","-561","12/29/2010 12:00:00 AM"
"382","20101229","5","6","1","56","21575","12/29/2010 12:00:00 AM"
"383","20101229","5","6","2","56","22700","12/29/2010 12:00:00 AM"
"384","20101229","5","6","2","57","500","12/29/2010 12:00:00 AM"
"385","20101229","5","6","1","57","467","12/29/2010 12:00:00 AM"
"386","20101229","5","6","1","60","25480","12/29/2010 12:00:00 AM"
"387","20101229","5","6","2","60","26400","12/29/2010 12:00:00 AM"
"388","20101229","5","6","2","61","2600","12/29/2010 12:00:00 AM"
"389","20101229","5","6","1","61","2038","12/29/2010 12:00:00 AM"
"390","20101229","5","6","1","62","2293","12/29/2010 12:00:00 AM"
"391","20101229","5","6","2","62","1800","12/29/2010 12:00:00 AM"
"392","20101229","5","6","2","63","8700","12/29/2010 12:00:00 AM"
"393","20101229","5","6","1","63","2244","12/29/2010 12:00:00 AM"
"394","20101229","5","6","1","65","553","12/29/2010 12:00:00 AM"
"395","20101229","5","6","2","65","380","12/29/2010 12:00:00 AM"
"396","20101229","5","6","2","66","380","12/29/2010 12:00:00 AM"
"397","20101229","5","6","1","66","503","12/29/2010 12:00:00 AM"
"398","20101229","5","6","1","67","252","12/29/2010 12:00:00 AM"
"399","20101229","5","6","2","67","200","12/29/2010 12:00:00 AM"
"400","20101229","5","6","2","68","200","12/29/2010 12:00:00 AM"
"401","20101229","5","6","1","68","189","12/29/2010 12:00:00 AM"
"402","20101229","5","6","1","69","55","12/29/2010 12:00:00 AM"
"403","20101229","5","6","1","71","49","12/29/2010 12:00:00 AM"
"404","20101229","5","6","2","71","70","12/29/2010 12:00:00 AM"
