"SurveyResponseKey","DateKey","CustomerKey","ProductCategoryKey","EnglishProductCategoryName","ProductSubcategoryKey","EnglishProductSubcategoryName","Date"
"35","20120427","11132","3","Clothing","23","Socks","4/27/2012 12:00:00 AM"
"36","20120321","11142","3","Clothing","19","Caps","3/21/2012 12:00:00 AM"
"37","20120410","11150","3","Clothing","21","Jerseys","4/10/2012 12:00:00 AM"
"38","20120410","11150","4","Accessories","31","Helmets","4/10/2012 12:00:00 AM"
"39","20120304","11223","4","Accessories","35","Panniers","3/4/2012 12:00:00 AM"
"40","20120303","11276","3","Clothing","23","Socks","3/3/2012 12:00:00 AM"
"41","20120303","11276","4","Accessories","34","Locks","3/3/2012 12:00:00 AM"
"42","20120303","11287","3","Clothing","24","Tights","3/3/2012 12:00:00 AM"
"43","20120303","11287","4","Accessories","33","Lights","3/3/2012 12:00:00 AM"
"44","20120307","11300","4","Accessories","31","Helmets","3/7/2012 12:00:00 AM"
"45","20120325","11316","3","Clothing","25","Vests","3/25/2012 12:00:00 AM"
"46","20120325","11316","4","Accessories","28","Bottles and Cages","3/25/2012 12:00:00 AM"
"47","20120325","11316","4","Accessories","34","Locks","3/25/2012 12:00:00 AM"
"48","20120417","11331","3","Clothing","20","Gloves","4/17/2012 12:00:00 AM"
"49","20120417","11331","3","Clothing","24","Tights","4/17/2012 12:00:00 AM"
"50","20120317","11335","4","Accessories","26","Bike Racks","3/17/2012 12:00:00 AM"
"51","20120301","11338","4","Accessories","32","Hydration Packs","3/1/2012 12:00:00 AM"
"52","20120316","11344","4","Accessories","27","Bike Stands","3/16/2012 12:00:00 AM"
"53","20120304","11358","4","Accessories","27","Bike Stands","3/4/2012 12:00:00 AM"
"54","20120304","11358","4","Accessories","28","Bottles and Cages","3/4/2012 12:00:00 AM"
"55","20120423","11364","3","Clothing","24","Tights","4/23/2012 12:00:00 AM"
"56","20120331","11387","4","Accessories","31","Helmets","3/31/2012 12:00:00 AM"
"57","20120401","11413","3","Clothing","25","Vests","4/1/2012 12:00:00 AM"
"58","20120401","11413","4","Accessories","37","Tires and Tubes","4/1/2012 12:00:00 AM"
"59","20120406","11431","4","Accessories","27","Bike Stands","4/6/2012 12:00:00 AM"
"60","20120410","11446","3","Clothing","22","Shorts","4/10/2012 12:00:00 AM"
"61","20120311","11449","4","Accessories","28","Bottles and Cages","3/11/2012 12:00:00 AM"
"62","20120409","11464","4","Accessories","27","Bike Stands","4/9/2012 12:00:00 AM"
"63","20120313","11495","4","Accessories","33","Lights","3/13/2012 12:00:00 AM"
"64","20120409","11498","3","Clothing","21","Jerseys","4/9/2012 12:00:00 AM"
"65","20120409","11498","3","Clothing","22","Shorts","4/9/2012 12:00:00 AM"
"66","20120409","11498","4","Accessories","29","Cleaners","4/9/2012 12:00:00 AM"
"67","20120407","11500","4","Accessories","36","Pumps","4/7/2012 12:00:00 AM"
"68","20120325","11502","3","Clothing","21","Jerseys","3/25/2012 12:00:00 AM"
"69","20120325","11502","3","Clothing","23","Socks","3/25/2012 12:00:00 AM"
"70","20120322","11505","4","Accessories","30","Fenders","3/22/2012 12:00:00 AM"
"71","20120322","11505","4","Accessories","34","Locks","3/22/2012 12:00:00 AM"
"72","20120322","11505","4","Accessories","37","Tires and Tubes","3/22/2012 12:00:00 AM"
"73","20120403","11510","3","Clothing","25","Vests","4/3/2012 12:00:00 AM"
"74","20120426","11519","4","Accessories","37","Tires and Tubes","4/26/2012 12:00:00 AM"
"75","20120302","11523","3","Clothing","19","Caps","3/2/2012 12:00:00 AM"
"76","20120302","11523","3","Clothing","25","Vests","3/2/2012 12:00:00 AM"
"77","20120324","11530","4","Accessories","29","Cleaners","3/24/2012 12:00:00 AM"
"78","20120314","11562","4","Accessories","34","Locks","3/14/2012 12:00:00 AM"
"79","20120312","11613","3","Clothing","25","Vests","3/12/2012 12:00:00 AM"
"80","20120419","11618","4","Accessories","36","Pumps","4/19/2012 12:00:00 AM"
"81","20120317","11631","4","Accessories","37","Tires and Tubes","3/17/2012 12:00:00 AM"
"82","20120301","11640","4","Accessories","27","Bike Stands","3/1/2012 12:00:00 AM"
"83","20120301","11640","4","Accessories","33","Lights","3/1/2012 12:00:00 AM"
"84","20120424","11641","4","Accessories","34","Locks","4/24/2012 12:00:00 AM"
"85","20120301","11647","4","Accessories","32","Hydration Packs","3/1/2012 12:00:00 AM"
"86","20120301","11647","4","Accessories","33","Lights","3/1/2012 12:00:00 AM"
"87","20120403","11651","3","Clothing","21","Jerseys","4/3/2012 12:00:00 AM"
"88","20120313","11711","3","Clothing","22","Shorts","3/13/2012 12:00:00 AM"
"89","20120313","11711","4","Accessories","32","Hydration Packs","3/13/2012 12:00:00 AM"
"90","20120404","11719","4","Accessories","26","Bike Racks","4/4/2012 12:00:00 AM"
"91","20120404","11719","4","Accessories","34","Locks","4/4/2012 12:00:00 AM"
"92","20120419","11749","4","Accessories","33","Lights","4/19/2012 12:00:00 AM"
"93","20120322","11753","3","Clothing","22","Shorts","3/22/2012 12:00:00 AM"
"94","20120322","11753","4","Accessories","35","Panniers","3/22/2012 12:00:00 AM"
"95","20120425","11758","4","Accessories","34","Locks","4/25/2012 12:00:00 AM"
"96","20120309","11808","4","Accessories","29","Cleaners","3/9/2012 12:00:00 AM"
"97","20120229","11845","4","Accessories","30","Fenders","2/29/2012 12:00:00 AM"
"98","20120402","11875","3","Clothing","22","Shorts","4/2/2012 12:00:00 AM"
"99","20120402","11875","3","Clothing","24","Tights","4/2/2012 12:00:00 AM"
"100","20120405","11888","3","Clothing","22","Shorts","4/5/2012 12:00:00 AM"
"101","20120405","11888","4","Accessories","35","Panniers","4/5/2012 12:00:00 AM"
"102","20120322","11904","4","Accessories","36","Pumps","3/22/2012 12:00:00 AM"
"103","20120325","11911","3","Clothing","18","Bib-Shorts","3/25/2012 12:00:00 AM"
"104","20120402","11913","4","Accessories","27","Bike Stands","4/2/2012 12:00:00 AM"
"105","20120407","11917","3","Clothing","23","Socks","4/7/2012 12:00:00 AM"
"106","20120315","11918","4","Accessories","32","Hydration Packs","3/15/2012 12:00:00 AM"
"107","20120315","11918","4","Accessories","36","Pumps","3/15/2012 12:00:00 AM"
"108","20120303","11952","3","Clothing","25","Vests","3/3/2012 12:00:00 AM"
"109","20120303","11952","4","Accessories","31","Helmets","3/3/2012 12:00:00 AM"
"110","20120410","11963","4","Accessories","30","Fenders","4/10/2012 12:00:00 AM"
"111","20120410","11963","4","Accessories","36","Pumps","4/10/2012 12:00:00 AM"
"112","20120406","11968","4","Accessories","34","Locks","4/6/2012 12:00:00 AM"
"113","20120416","11986","4","Accessories","34","Locks","4/16/2012 12:00:00 AM"
"114","20120312","11987","3","Clothing","22","Shorts","3/12/2012 12:00:00 AM"
"115","20120408","11991","3","Clothing","18","Bib-Shorts","4/8/2012 12:00:00 AM"
"116","20120408","11991","4","Accessories","36","Pumps","4/8/2012 12:00:00 AM"
"117","20120326","11995","3","Clothing","24","Tights","3/26/2012 12:00:00 AM"
"118","20120327","11997","4","Accessories","28","Bottles and Cages","3/27/2012 12:00:00 AM"
"119","20120408","12002","3","Clothing","25","Vests","4/8/2012 12:00:00 AM"
"120","20120322","12038","3","Clothing","21","Jerseys","3/22/2012 12:00:00 AM"
"121","20120330","12056","3","Clothing","20","Gloves","3/30/2012 12:00:00 AM"
"122","20120418","12089","3","Clothing","24","Tights","4/18/2012 12:00:00 AM"
"123","20120417","12113","3","Clothing","25","Vests","4/17/2012 12:00:00 AM"
"124","20120417","12113","4","Accessories","29","Cleaners","4/17/2012 12:00:00 AM"
"125","20120319","12129","4","Accessories","28","Bottles and Cages","3/19/2012 12:00:00 AM"
"126","20120306","12136","3","Clothing","24","Tights","3/6/2012 12:00:00 AM"
"127","20120306","12136","4","Accessories","34","Locks","3/6/2012 12:00:00 AM"
"128","20120411","12165","4","Accessories","34","Locks","4/11/2012 12:00:00 AM"
"129","20120410","12166","3","Clothing","22","Shorts","4/10/2012 12:00:00 AM"
"130","20120410","12166","4","Accessories","37","Tires and Tubes","4/10/2012 12:00:00 AM"
"131","20120306","12226","4","Accessories","28","Bottles and Cages","3/6/2012 12:00:00 AM"
"132","20120420","12243","4","Accessories","34","Locks","4/20/2012 12:00:00 AM"
"133","20120421","12248","3","Clothing","22","Shorts","4/21/2012 12:00:00 AM"
"134","20120421","12248","4","Accessories","35","Panniers","4/21/2012 12:00:00 AM"
"135","20120421","12248","4","Accessories","36","Pumps","4/21/2012 12:00:00 AM"
"136","20120322","12306","4","Accessories","29","Cleaners","3/22/2012 12:00:00 AM"
"137","20120426","12317","3","Clothing","21","Jerseys","4/26/2012 12:00:00 AM"
"138","20120426","12317","4","Accessories","26","Bike Racks","4/26/2012 12:00:00 AM"
"139","20120426","12317","4","Accessories","37","Tires and Tubes","4/26/2012 12:00:00 AM"
"140","20120311","12327","3","Clothing","23","Socks","3/11/2012 12:00:00 AM"
"141","20120311","12327","4","Accessories","36","Pumps","3/11/2012 12:00:00 AM"
"142","20120326","12338","4","Accessories","27","Bike Stands","3/26/2012 12:00:00 AM"
"143","20120411","12343","3","Clothing","23","Socks","4/11/2012 12:00:00 AM"
"144","20120405","12344","3","Clothing","24","Tights","4/5/2012 12:00:00 AM"
"145","20120421","12350","3","Clothing","22","Shorts","4/21/2012 12:00:00 AM"
"146","20120421","12350","4","Accessories","33","Lights","4/21/2012 12:00:00 AM"
"147","20120321","12351","4","Accessories","30","Fenders","3/21/2012 12:00:00 AM"
"148","20120321","12351","4","Accessories","31","Helmets","3/21/2012 12:00:00 AM"
"149","20120418","12354","4","Accessories","27","Bike Stands","4/18/2012 12:00:00 AM"
"150","20120317","12358","4","Accessories","30","Fenders","3/17/2012 12:00:00 AM"
"151","20120413","12359","4","Accessories","26","Bike Racks","4/13/2012 12:00:00 AM"
"152","20120413","12359","4","Accessories","30","Fenders","4/13/2012 12:00:00 AM"
"153","20120413","12359","4","Accessories","33","Lights","4/13/2012 12:00:00 AM"
"154","20120319","12363","4","Accessories","35","Panniers","3/19/2012 12:00:00 AM"
"155","20120319","12363","4","Accessories","36","Pumps","3/19/2012 12:00:00 AM"
"156","20120318","12396","4","Accessories","30","Fenders","3/18/2012 12:00:00 AM"
"157","20120320","12399","3","Clothing","18","Bib-Shorts","3/20/2012 12:00:00 AM"
"158","20120301","12401","4","Accessories","31","Helmets","3/1/2012 12:00:00 AM"
"159","20120402","12491","3","Clothing","23","Socks","4/2/2012 12:00:00 AM"
"160","20120402","12491","4","Accessories","32","Hydration Packs","4/2/2012 12:00:00 AM"
"161","20120402","12491","4","Accessories","33","Lights","4/2/2012 12:00:00 AM"
"162","20120417","12496","4","Accessories","26","Bike Racks","4/17/2012 12:00:00 AM"
"163","20120417","12496","4","Accessories","33","Lights","4/17/2012 12:00:00 AM"
"164","20120316","12530","3","Clothing","24","Tights","3/16/2012 12:00:00 AM"
"165","20120316","12530","4","Accessories","34","Locks","3/16/2012 12:00:00 AM"
"166","20120408","12571","4","Accessories","37","Tires and Tubes","4/8/2012 12:00:00 AM"
"167","20120406","12577","4","Accessories","32","Hydration Packs","4/6/2012 12:00:00 AM"
"168","20120329","12580","3","Clothing","24","Tights","3/29/2012 12:00:00 AM"
"169","20120306","12587","4","Accessories","33","Lights","3/6/2012 12:00:00 AM"
"170","20120403","12588","4","Accessories","34","Locks","4/3/2012 12:00:00 AM"
"171","20120410","12617","3","Clothing","22","Shorts","4/10/2012 12:00:00 AM"
"172","20120410","12617","4","Accessories","34","Locks","4/10/2012 12:00:00 AM"
"173","20120411","12619","3","Clothing","21","Jerseys","4/11/2012 12:00:00 AM"
"174","20120411","12619","3","Clothing","22","Shorts","4/11/2012 12:00:00 AM"
"175","20120411","12619","4","Accessories","33","Lights","4/11/2012 12:00:00 AM"
"176","20120323","12630","4","Accessories","33","Lights","3/23/2012 12:00:00 AM"
"177","20120317","12675","4","Accessories","35","Panniers","3/17/2012 12:00:00 AM"
"178","20120317","12675","4","Accessories","37","Tires and Tubes","3/17/2012 12:00:00 AM"
"179","20120327","12677","3","Clothing","25","Vests","3/27/2012 12:00:00 AM"
"180","20120327","12677","4","Accessories","33","Lights","3/27/2012 12:00:00 AM"
"181","20120420","12687","4","Accessories","34","Locks","4/20/2012 12:00:00 AM"
"182","20120311","12697","3","Clothing","19","Caps","3/11/2012 12:00:00 AM"
"183","20120311","12697","4","Accessories","37","Tires and Tubes","3/11/2012 12:00:00 AM"
"184","20120311","12714","4","Accessories","29","Cleaners","3/11/2012 12:00:00 AM"
"185","20120311","12714","4","Accessories","34","Locks","3/11/2012 12:00:00 AM"
"186","20120229","12715","3","Clothing","19","Caps","2/29/2012 12:00:00 AM"
"187","20120229","12715","4","Accessories","27","Bike Stands","2/29/2012 12:00:00 AM"
"188","20120404","12760","3","Clothing","24","Tights","4/4/2012 12:00:00 AM"
"189","20120404","12760","3","Clothing","25","Vests","4/4/2012 12:00:00 AM"
"190","20120315","12763","4","Accessories","32","Hydration Packs","3/15/2012 12:00:00 AM"
"191","20120412","12765","3","Clothing","24","Tights","4/12/2012 12:00:00 AM"
"192","20120412","12765","4","Accessories","33","Lights","4/12/2012 12:00:00 AM"
"193","20120312","12785","3","Clothing","19","Caps","3/12/2012 12:00:00 AM"
"194","20120312","12785","3","Clothing","25","Vests","3/12/2012 12:00:00 AM"
"195","20120304","12800","4","Accessories","29","Cleaners","3/4/2012 12:00:00 AM"
"196","20120304","12800","4","Accessories","30","Fenders","3/4/2012 12:00:00 AM"
"197","20120401","12837","4","Accessories","32","Hydration Packs","4/1/2012 12:00:00 AM"
"198","20120317","12840","3","Clothing","24","Tights","3/17/2012 12:00:00 AM"
"199","20120317","12840","4","Accessories","33","Lights","3/17/2012 12:00:00 AM"
"200","20120317","12840","4","Accessories","36","Pumps","3/17/2012 12:00:00 AM"
"201","20120419","12870","4","Accessories","34","Locks","4/19/2012 12:00:00 AM"
"202","20120301","12895","3","Clothing","21","Jerseys","3/1/2012 12:00:00 AM"
"203","20120303","12919","3","Clothing","24","Tights","3/3/2012 12:00:00 AM"
"204","20120303","12919","4","Accessories","26","Bike Racks","3/3/2012 12:00:00 AM"
"205","20120303","12919","4","Accessories","35","Panniers","3/3/2012 12:00:00 AM"
"206","20120229","12939","4","Accessories","26","Bike Racks","2/29/2012 12:00:00 AM"
"207","20120325","12945","3","Clothing","21","Jerseys","3/25/2012 12:00:00 AM"
"208","20120312","12959","4","Accessories","29","Cleaners","3/12/2012 12:00:00 AM"
"209","20120312","12959","4","Accessories","35","Panniers","3/12/2012 12:00:00 AM"
"210","20120426","12987","3","Clothing","20","Gloves","4/26/2012 12:00:00 AM"
"211","20120302","12988","4","Accessories","37","Tires and Tubes","3/2/2012 12:00:00 AM"
"212","20120411","12991","4","Accessories","34","Locks","4/11/2012 12:00:00 AM"
"213","20120321","12997","3","Clothing","20","Gloves","3/21/2012 12:00:00 AM"
"214","20120328","13004","4","Accessories","26","Bike Racks","3/28/2012 12:00:00 AM"
"215","20120330","13006","3","Clothing","22","Shorts","3/30/2012 12:00:00 AM"
"216","20120330","13006","4","Accessories","27","Bike Stands","3/30/2012 12:00:00 AM"
"217","20120330","13006","4","Accessories","30","Fenders","3/30/2012 12:00:00 AM"
"218","20120312","13008","3","Clothing","22","Shorts","3/12/2012 12:00:00 AM"
"219","20120312","13008","4","Accessories","26","Bike Racks","3/12/2012 12:00:00 AM"
"220","20120312","13008","4","Accessories","30","Fenders","3/12/2012 12:00:00 AM"
"221","20120229","13011","3","Clothing","21","Jerseys","2/29/2012 12:00:00 AM"
"222","20120229","13011","3","Clothing","23","Socks","2/29/2012 12:00:00 AM"
"223","20120321","13012","3","Clothing","20","Gloves","3/21/2012 12:00:00 AM"
"224","20120326","13021","3","Clothing","22","Shorts","3/26/2012 12:00:00 AM"
"225","20120323","13024","3","Clothing","24","Tights","3/23/2012 12:00:00 AM"
"226","20120323","13024","4","Accessories","30","Fenders","3/23/2012 12:00:00 AM"
"227","20120323","13024","4","Accessories","36","Pumps","3/23/2012 12:00:00 AM"
"228","20120405","13026","4","Accessories","31","Helmets","4/5/2012 12:00:00 AM"
"229","20120318","13034","4","Accessories","33","Lights","3/18/2012 12:00:00 AM"
"230","20120317","13037","3","Clothing","25","Vests","3/17/2012 12:00:00 AM"
"231","20120317","13037","4","Accessories","32","Hydration Packs","3/17/2012 12:00:00 AM"
"232","20120424","13044","3","Clothing","23","Socks","4/24/2012 12:00:00 AM"
"233","20120322","13051","4","Accessories","32","Hydration Packs","3/22/2012 12:00:00 AM"
"234","20120415","13079","4","Accessories","30","Fenders","4/15/2012 12:00:00 AM"
"235","20120304","13095","3","Clothing","18","Bib-Shorts","3/4/2012 12:00:00 AM"
"236","20120304","13095","3","Clothing","21","Jerseys","3/4/2012 12:00:00 AM"
"237","20120304","13095","4","Accessories","26","Bike Racks","3/4/2012 12:00:00 AM"
"238","20120314","13103","3","Clothing","21","Jerseys","3/14/2012 12:00:00 AM"
"239","20120314","13103","4","Accessories","26","Bike Racks","3/14/2012 12:00:00 AM"
"240","20120314","13103","4","Accessories","29","Cleaners","3/14/2012 12:00:00 AM"
"241","20120419","13110","3","Clothing","25","Vests","4/19/2012 12:00:00 AM"
"242","20120325","13114","3","Clothing","25","Vests","3/25/2012 12:00:00 AM"
"243","20120325","13114","4","Accessories","35","Panniers","3/25/2012 12:00:00 AM"
"244","20120413","13138","4","Accessories","37","Tires and Tubes","4/13/2012 12:00:00 AM"
"245","20120229","13139","4","Accessories","35","Panniers","2/29/2012 12:00:00 AM"
"246","20120410","13143","3","Clothing","25","Vests","4/10/2012 12:00:00 AM"
"247","20120328","13175","3","Clothing","23","Socks","3/28/2012 12:00:00 AM"
"248","20120328","13175","3","Clothing","24","Tights","3/28/2012 12:00:00 AM"
"249","20120328","13175","4","Accessories","28","Bottles and Cages","3/28/2012 12:00:00 AM"
"250","20120306","13197","4","Accessories","26","Bike Racks","3/6/2012 12:00:00 AM"
"251","20120306","13197","4","Accessories","35","Panniers","3/6/2012 12:00:00 AM"
"252","20120229","13217","4","Accessories","28","Bottles and Cages","2/29/2012 12:00:00 AM"
"253","20120425","13239","3","Clothing","20","Gloves","4/25/2012 12:00:00 AM"
"254","20120425","13239","3","Clothing","21","Jerseys","4/25/2012 12:00:00 AM"
"255","20120425","13239","4","Accessories","31","Helmets","4/25/2012 12:00:00 AM"
"256","20120416","13249","3","Clothing","25","Vests","4/16/2012 12:00:00 AM"
"257","20120412","13257","4","Accessories","33","Lights","4/12/2012 12:00:00 AM"
"258","20120403","13284","3","Clothing","21","Jerseys","4/3/2012 12:00:00 AM"
"259","20120324","13345","4","Accessories","26","Bike Racks","3/24/2012 12:00:00 AM"
"260","20120322","13350","4","Accessories","34","Locks","3/22/2012 12:00:00 AM"
"261","20120322","13350","4","Accessories","37","Tires and Tubes","3/22/2012 12:00:00 AM"
"262","20120409","13391","4","Accessories","37","Tires and Tubes","4/9/2012 12:00:00 AM"
"263","20120419","13434","3","Clothing","23","Socks","4/19/2012 12:00:00 AM"
"264","20120419","13474","4","Accessories","36","Pumps","4/19/2012 12:00:00 AM"
"265","20120416","13494","3","Clothing","24","Tights","4/16/2012 12:00:00 AM"
"266","20120416","13494","4","Accessories","33","Lights","4/16/2012 12:00:00 AM"
"267","20120418","13521","4","Accessories","27","Bike Stands","4/18/2012 12:00:00 AM"
"268","20120328","13522","4","Accessories","32","Hydration Packs","3/28/2012 12:00:00 AM"
"269","20120328","13522","4","Accessories","33","Lights","3/28/2012 12:00:00 AM"
"270","20120323","13528","4","Accessories","32","Hydration Packs","3/23/2012 12:00:00 AM"
"271","20120413","13529","3","Clothing","24","Tights","4/13/2012 12:00:00 AM"
"272","20120309","13535","3","Clothing","23","Socks","3/9/2012 12:00:00 AM"
"273","20120309","13535","4","Accessories","32","Hydration Packs","3/9/2012 12:00:00 AM"
"274","20120404","13541","4","Accessories","26","Bike Racks","4/4/2012 12:00:00 AM"
"275","20120306","13543","3","Clothing","19","Caps","3/6/2012 12:00:00 AM"
"276","20120306","13543","3","Clothing","23","Socks","3/6/2012 12:00:00 AM"
"277","20120306","13543","4","Accessories","33","Lights","3/6/2012 12:00:00 AM"
"278","20120327","13562","3","Clothing","25","Vests","3/27/2012 12:00:00 AM"
"279","20120327","13562","4","Accessories","34","Locks","3/27/2012 12:00:00 AM"
"280","20120319","13586","4","Accessories","26","Bike Racks","3/19/2012 12:00:00 AM"
"281","20120321","13587","4","Accessories","35","Panniers","3/21/2012 12:00:00 AM"
"282","20120424","13588","4","Accessories","37","Tires and Tubes","4/24/2012 12:00:00 AM"
"283","20120410","13597","4","Accessories","34","Locks","4/10/2012 12:00:00 AM"
"284","20120328","13618","3","Clothing","24","Tights","3/28/2012 12:00:00 AM"
"285","20120419","13620","3","Clothing","23","Socks","4/19/2012 12:00:00 AM"
"286","20120406","13627","3","Clothing","25","Vests","4/6/2012 12:00:00 AM"
"287","20120420","13632","3","Clothing","19","Caps","4/20/2012 12:00:00 AM"
"288","20120426","13639","4","Accessories","36","Pumps","4/26/2012 12:00:00 AM"
"289","20120408","13643","4","Accessories","28","Bottles and Cages","4/8/2012 12:00:00 AM"
"290","20120324","13668","3","Clothing","23","Socks","3/24/2012 12:00:00 AM"
"291","20120324","13668","4","Accessories","31","Helmets","3/24/2012 12:00:00 AM"
"292","20120415","13694","3","Clothing","23","Socks","4/15/2012 12:00:00 AM"
"293","20120415","13694","4","Accessories","31","Helmets","4/15/2012 12:00:00 AM"
"294","20120317","13719","3","Clothing","22","Shorts","3/17/2012 12:00:00 AM"
"295","20120403","13732","3","Clothing","18","Bib-Shorts","4/3/2012 12:00:00 AM"
"296","20120403","13732","3","Clothing","22","Shorts","4/3/2012 12:00:00 AM"
"297","20120403","13732","4","Accessories","33","Lights","4/3/2012 12:00:00 AM"
"298","20120421","13758","4","Accessories","30","Fenders","4/21/2012 12:00:00 AM"
"299","20120421","13758","4","Accessories","33","Lights","4/21/2012 12:00:00 AM"
"300","20120328","13778","3","Clothing","22","Shorts","3/28/2012 12:00:00 AM"
"301","20120307","13836","4","Accessories","35","Panniers","3/7/2012 12:00:00 AM"
"302","20120409","13837","4","Accessories","36","Pumps","4/9/2012 12:00:00 AM"
"303","20120307","13842","3","Clothing","19","Caps","3/7/2012 12:00:00 AM"
"304","20120407","13846","4","Accessories","31","Helmets","4/7/2012 12:00:00 AM"
"305","20120413","13852","4","Accessories","28","Bottles and Cages","4/13/2012 12:00:00 AM"
"306","20120413","13852","4","Accessories","32","Hydration Packs","4/13/2012 12:00:00 AM"
"307","20120304","13918","3","Clothing","19","Caps","3/4/2012 12:00:00 AM"
"308","20120304","13918","3","Clothing","21","Jerseys","3/4/2012 12:00:00 AM"
"309","20120304","13918","3","Clothing","25","Vests","3/4/2012 12:00:00 AM"
"310","20120326","13966","3","Clothing","22","Shorts","3/26/2012 12:00:00 AM"
"311","20120409","13973","4","Accessories","36","Pumps","4/9/2012 12:00:00 AM"
"312","20120331","13995","4","Accessories","36","Pumps","3/31/2012 12:00:00 AM"
"313","20120326","14007","3","Clothing","18","Bib-Shorts","3/26/2012 12:00:00 AM"
"314","20120423","14008","3","Clothing","21","Jerseys","4/23/2012 12:00:00 AM"
"315","20120423","14008","4","Accessories","36","Pumps","4/23/2012 12:00:00 AM"
"316","20120404","14009","3","Clothing","21","Jerseys","4/4/2012 12:00:00 AM"
"317","20120404","14009","3","Clothing","24","Tights","4/4/2012 12:00:00 AM"
"318","20120404","14009","4","Accessories","28","Bottles and Cages","4/4/2012 12:00:00 AM"
"319","20120426","14014","4","Accessories","30","Fenders","4/26/2012 12:00:00 AM"
"320","20120331","14016","3","Clothing","21","Jerseys","3/31/2012 12:00:00 AM"
"321","20120331","14016","4","Accessories","27","Bike Stands","3/31/2012 12:00:00 AM"
"322","20120229","14020","3","Clothing","24","Tights","2/29/2012 12:00:00 AM"
"323","20120320","14050","4","Accessories","35","Panniers","3/20/2012 12:00:00 AM"
"324","20120401","14066","3","Clothing","19","Caps","4/1/2012 12:00:00 AM"
"325","20120401","14066","4","Accessories","27","Bike Stands","4/1/2012 12:00:00 AM"
"326","20120311","14067","3","Clothing","20","Gloves","3/11/2012 12:00:00 AM"
"327","20120311","14067","4","Accessories","37","Tires and Tubes","3/11/2012 12:00:00 AM"
"328","20120229","14070","4","Accessories","27","Bike Stands","2/29/2012 12:00:00 AM"
"329","20120404","14091","4","Accessories","27","Bike Stands","4/4/2012 12:00:00 AM"
"330","20120404","14091","4","Accessories","29","Cleaners","4/4/2012 12:00:00 AM"
"331","20120311","14108","4","Accessories","28","Bottles and Cages","3/11/2012 12:00:00 AM"
"332","20120311","14108","4","Accessories","30","Fenders","3/11/2012 12:00:00 AM"
"333","20120302","14124","4","Accessories","35","Panniers","3/2/2012 12:00:00 AM"
