"ProductKey","ProductAlternateKey","ProductSubcategoryKey","WeightUnitMeasureCode","SizeUnitMeasureCode","EnglishProductName","SpanishProductName","FrenchProductName","StandardCost","FinishedGoodsFlag","Color","SafetyStockLevel","ReorderPoint","ListPrice","Size","SizeRange","Weight","DaysToManufacture","ProductLine","DealerPrice","Class","Style","ModelName","LargePhoto","EnglishDescription","FrenchDescription","ChineseDescription","ArabicDescription","HebrewDescription","ThaiDescription","GermanDescription","JapaneseDescription","TurkishDescription","StartDate","EndDate","Status"
"44","HJ-3816","","","","Thin-Jam Hex Nut 5","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"45","HJ-3824","","","","Thin-Jam Hex Nut 6","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"46","HJ-5161","","","","Thin-Jam Hex Nut 3","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"47","HJ-5162","","","","Thin-Jam Hex Nut 4","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"48","HJ-5811","","","","Thin-Jam Hex Nut 13","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"49","HJ-5818","","","","Thin-Jam Hex Nut 14","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"50","HJ-7161","","","","Thin-Jam Hex Nut 7","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"51","HJ-7162","","","","Thin-Jam Hex Nut 8","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"52","HJ-9080","","","","Thin-Jam Hex Nut 12","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"53","HJ-9161","","","","Thin-Jam Hex Nut 11","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"54","HN-1024","","","","Hex Nut 5","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"55","HN-1032","","","","Hex Nut 6","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"56","HN-1213","","","","Hex Nut 16","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"57","HN-1220","","","","Hex Nut 17","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"58","HN-1224","","","","Hex Nut 7","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"59","HN-1420","","","","Hex Nut 8","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"60","HN-1428","","","","Hex Nut 9","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"61","HN-3410","","","","Hex Nut 22","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"62","HN-3416","","","","Hex Nut 23","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"63","HN-3816","","","","Hex Nut 12","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"64","HN-3824","","","","Hex Nut 13","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"65","HN-4402","","","","Hex Nut 1","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"66","HN-5161","","","","Hex Nut 10","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"67","HN-5162","","","","Hex Nut 11","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"68","HN-5400","","","","Hex Nut 2","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"69","HN-5811","","","","Hex Nut 20","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"70","HN-5818","","","","Hex Nut 21","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"71","HN-6320","","","","Hex Nut 3","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"72","HN-7161","","","","Hex Nut 14","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"73","HN-7162","","","","Hex Nut 15","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"74","HN-8320","","","","Hex Nut 4","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"75","HN-9161","","","","Hex Nut 18","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"76","HN-9168","","","","Hex Nut 19","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"77","HT-2981","","","","Handlebar Tube","","","","False","NA","800","600","","","NA","","1","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"78","HT-8019","","","","Head Tube","","","","False","NA","800","600","","","NA","","1","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"79","HU-6280","","","","LL Hub","","","","False","NA","500","375","","","NA","","1","","","L ","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"80","HU-8998","","","","HL Hub","","","","False","NA","500","375","","","NA","","1","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"81","KW-4091","","","","Keyed Washer","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"82","LE-1000","","","","External Lock Washer 3","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"83","LE-1200","","","","External Lock Washer 4","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"84","LE-1201","","","","External Lock Washer 9","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"85","LE-1400","","","","External Lock Washer 5","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"86","LE-3800","","","","External Lock Washer 7","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"87","LE-5160","","","","External Lock Washer 6","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"88","LE-6000","","","","External Lock Washer 1","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"89","LE-7160","","","","External Lock Washer 8","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"90","LE-8000","","","","External Lock Washer 2","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"91","LI-1000","","","","Internal Lock Washer 3","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"92","LI-1200","","","","Internal Lock Washer 4","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"93","LI-1201","","","","Internal Lock Washer 9","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"94","LI-1400","","","","Internal Lock Washer 5","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"95","LI-3800","","","","Internal Lock Washer 7","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"96","LI-5160","","","","Internal Lock Washer 6","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"97","LI-5800","","","","Internal Lock Washer 10","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"98","LI-6000","","","","Internal Lock Washer 1","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"99","LI-7160","","","","Internal Lock Washer 8","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"100","LI-8000","","","","Internal Lock Washer 2","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"101","LJ-1213","","","","Thin-Jam Lock Nut 9","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"102","LJ-1220","","","","Thin-Jam Lock Nut 10","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"103","LJ-1420","","","","Thin-Jam Lock Nut 1","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"104","LJ-1428","","","","Thin-Jam Lock Nut 2","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"105","LJ-3410","","","","Thin-Jam Lock Nut 15","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"106","LJ-3416","","","","Thin-Jam Lock Nut 16","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"107","LJ-3816","","","","Thin-Jam Lock Nut 5","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"108","LJ-3824","","","","Thin-Jam Lock Nut 6","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"109","LJ-5161","","","","Thin-Jam Lock Nut 3","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"110","LJ-5162","","","","Thin-Jam Lock Nut 4","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"111","LJ-5811","","","","Thin-Jam Lock Nut 13","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"112","LJ-5818","","","","Thin-Jam Lock Nut 14","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"113","LJ-7161","","","","Thin-Jam Lock Nut 7","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"114","LJ-7162","","","","Thin-Jam Lock Nut 8","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"115","LJ-9080","","","","Thin-Jam Lock Nut 12","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"116","LJ-9161","","","","Thin-Jam Lock Nut 11","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"117","LN-1024","","","","Lock Nut 5","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"118","LN-1032","","","","Lock Nut 6","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"119","LN-1213","","","","Lock Nut 16","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"120","LN-1220","","","","Lock Nut 17","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"121","LN-1224","","","","Lock Nut 7","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"122","LN-1420","","","","Lock Nut 8","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"123","LN-1428","","","","Lock Nut 9","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"124","LN-3410","","","","Lock Nut 22","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"125","LN-3416","","","","Lock Nut 23","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"126","LN-3816","","","","Lock Nut 12","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"127","LN-3824","","","","Lock Nut 13","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"128","LN-4400","","","","Lock Nut 1","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"129","LN-5161","","","","Lock Nut 10","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"130","LN-5162","","","","Lock Nut 11","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"131","LN-5400","","","","Lock Nut 2","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"132","LN-5811","","","","Lock Nut 20","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"133","LN-5818","","","","Lock Nut 21","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"134","LN-6320","","","","Lock Nut 3","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"135","LN-7161","","","","Lock Nut 14","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"136","LN-7162","","","","Lock Nut 15","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"137","LN-8320","","","","Lock Nut 4","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"138","LN-9080","","","","Lock Nut 19","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"139","LN-9161","","","","Lock Nut 18","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"140","LR-2398","","","","Lock Ring","","","","False","Silver","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"141","LR-8520","","","","Lower Head Race","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"142","LW-1000","","","","Lock Washer 4","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"143","LW-1200","","","","Lock Washer 5","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"144","LW-1201","","","","Lock Washer 10","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"145","LW-1400","","","","Lock Washer 6","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"146","LW-3400","","","","Lock Washer 13","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"147","LW-3800","","","","Lock Washer 8","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"148","LW-4000","","","","Lock Washer 1","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"149","LW-5160","","","","Lock Washer 7","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"150","LW-5800","","","","Lock Washer 12","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"151","LW-6000","","","","Lock Washer 2","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"152","LW-7160","","","","Lock Washer 9","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"153","LW-8000","","","","Lock Washer 3","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"154","LW-9160","","","","Lock Washer 11","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
"155","MA-7075","","","","Metal Angle","","","","False","NA","1000","750","","","NA","","0","","","","","","System.Byte[]","","","","","","","","","","7/1/2003 12:00:00 AM","","Current"
